symbol,name,last_price,latest_date,candidate_source,heat_rank,heat_score,heat_reasons
000301.SZ,东方盛虹,11.3,2026-06-29,base,,,
000338.SZ,潍柴动力,26.19,2026-06-29,base,,,
000400.SZ,许继电气,21.59,2026-06-29,base,,,
000401.SZ,金隅冀东,3.43,2026-06-29,base,,,
000402.SZ,金 融 街,2.51,2026-06-29,base,,,
000403.SZ,派林生物,9.17,2026-06-29,base,,,
000404.SZ,长虹华意,8.06,2026-06-29,base,,,
000407.SZ,胜利股份,3.69,2026-06-29,base,,,
000409.SZ,云鼎科技,8.17,2026-06-29,base,,,
000410.SZ,沈阳机床,4.58,2026-06-29,base,,,
000411.SZ,英特集团,9.23,2026-06-29,base,,,
000415.SZ,渤海租赁,4.11,2026-06-29,base,,,
000417.SZ,合百集团,8.6,2026-06-29,base+heat,29.0,8.324713345840639,"strong_industry,top_ret1_not_overheated,top_ret3,industry_relative_strength"
000419.SZ,通程控股,4.59,2026-06-29,base,,,
000420.SZ,吉林化纤,4.2,2026-06-29,base,,,
000421.SZ,南京公用,5.03,2026-06-29,base,,,
000422.SZ,湖北宜化,13.58,2026-06-29,base,,,
000425.SZ,徐工机械,8.46,2026-06-29,base,,,
000426.SZ,兴业银锡,33.27,2026-06-29,base,,,
000428.SZ,华天酒店,3.1,2026-06-29,base,,,
000429.SZ,粤高速Ａ,13.82,2026-06-29,base,,,
000430.SZ,张家界,7.44,2026-06-29,base,,,
000498.SZ,山东路桥,4.82,2026-06-29,base,,,
000501.SZ,武商集团,6.72,2026-06-29,base,,,
000503.SZ,国新健康,6.27,2026-06-29,base,,,
000504.SZ,南华生物,7.41,2026-06-29,base,,,
000505.SZ,京粮控股,5.09,2026-06-29,base,,,
000506.SZ,招金黄金,11.91,2026-06-29,base,,,
000507.SZ,珠海港,4.78,2026-06-29,base,,,
000509.SZ,华塑控股,3.53,2026-06-29,base,,,
000510.SZ,新金路,26.3,2026-06-29,base,,,
000513.SZ,丽珠集团,29.88,2026-06-29,base,,,
000514.SZ,渝 开 发,3.67,2026-06-29,base,,,
000516.SZ,国际医学,3.98,2026-06-29,base,,,
000518.SZ,四环生物,3.18,2026-06-29,base,,,
000519.SZ,中兵红箭,19.62,2026-06-29,base,,,
000520.SZ,凤凰航运,3.65,2026-06-29,base,,,
000521.SZ,长虹美菱,5.49,2026-06-29,base,,,
000523.SZ,红棉股份,2.58,2026-06-29,base,,,
000525.SZ,红太阳,3.92,2026-06-29,base,,,
000526.SZ,学大教育,25.65,2026-06-29,base,,,
000528.SZ,柳    工,7.71,2026-06-29,base,,,
000529.SZ,广弘控股,4.4,2026-06-29,base,,,
000530.SZ,冰山冷热,5.16,2026-06-29,base,,,
000531.SZ,穗恒运Ａ,6.12,2026-06-29,base,,,
000532.SZ,华金资本,10.64,2026-06-29,base,,,
000533.SZ,顺钠股份,9.45,2026-06-29,base,,,
000534.SZ,万泽股份,27.65,2026-06-29,base,,,
000536.SZ,华映科技,3.09,2026-06-29,base,,,
000537.SZ,绿发电力,7.42,2026-06-29,base,,,
000539.SZ,粤电力Ａ,6.83,2026-06-29,base,,,
000541.SZ,佛山照明,5.29,2026-06-29,base,,,
000543.SZ,皖能电力,7.76,2026-06-29,base,,,
000544.SZ,中原环保,7.14,2026-06-29,base,,,
000545.SZ,金浦钛业,2.4,2026-06-29,base,,,
000546.SZ,金圆股份,4.8,2026-06-29,base,,,
000547.SZ,航天发展,18.3,2026-06-29,base,,,
000548.SZ,湖南投资,4.13,2026-06-29,base,,,
000550.SZ,江铃汽车,16.32,2026-06-29,base,,,
000551.SZ,创元科技,20.08,2026-06-29,base,,,
000552.SZ,甘肃能化,2.3,2026-06-29,base,,,
000553.SZ,安道麦A,5.5,2026-06-29,base,,,
000554.SZ,泰山石油,5.68,2026-06-29,base,,,
000555.SZ,神州信息,10.27,2026-06-29,base,,,
000557.SZ,西部创业,3.48,2026-06-29,base,,,
000558.SZ,天府文旅,3.15,2026-06-29,base,,,
000559.SZ,万向钱潮,12.51,2026-06-29,base,,,
000560.SZ,我爱我家,2.07,2026-06-29,base,,,
000561.SZ,烽火电子,7.2,2026-06-29,base,,,
000563.SZ,陕国投Ａ,2.81,2026-06-29,base,,,
000565.SZ,渝三峡Ａ,5.7,2026-06-29,base,,,
000566.SZ,海南海药,4.54,2026-06-29,base+heat,25.0,8.410607865289158,"strong_industry,top_ret1_not_overheated,limit_up,industry_relative_strength"
000567.SZ,海德股份,5.74,2026-06-29,base,,,
000570.SZ,苏常柴Ａ,4.7,2026-06-29,base,,,
000571.SZ,新大洲A,6.3,2026-06-29,base,,,
000572.SZ,海马汽车,3.69,2026-06-29,base,,,
000573.SZ,粤宏远Ａ,3.52,2026-06-29,base,,,
000576.SZ,甘化科工,6.51,2026-06-29,base,,,
000581.SZ,威孚高科,16.9,2026-06-29,base,,,
000582.SZ,北部湾港,10.53,2026-06-29,base,,,
000586.SZ,汇源通信,12.97,2026-06-29,base,,,
000589.SZ,贵州轮胎,4.12,2026-06-29,base,,,
000590.SZ,古汉医药,8.45,2026-06-29,base,,,
000591.SZ,太阳能,4.56,2026-06-29,base,,,
000592.SZ,平潭发展,6.61,2026-06-29,base,,,
000593.SZ,德龙汇能,19.9,2026-06-29,base,,,
000597.SZ,东北制药,4.4,2026-06-29,base,,,
000598.SZ,兴蓉环境,6.46,2026-06-29,base,,,
000599.SZ,青岛双星,4.26,2026-06-29,base,,,
000600.SZ,建投能源,8.88,2026-06-29,base,,,
000601.SZ,韶能股份,5.94,2026-06-29,base,,,
000603.SZ,盛达资源,21.0,2026-06-29,base,,,
000605.SZ,渤海股份,5.43,2026-06-29,base,,,
000607.SZ,华媒控股,3.1,2026-06-29,base,,,
000608.SZ,阳光股份,6.31,2026-06-29,base,,,
000612.SZ,焦作万方,10.93,2026-06-29,base,,,
000617.SZ,中油资本,6.68,2026-06-29,base,,,
000619.SZ,海螺新材,4.46,2026-06-29,base,,,
000620.SZ,盈新发展,3.18,2026-06-29,base,,,
000623.SZ,吉林敖东,18.1,2026-06-29,base,,,
000625.SZ,长安汽车,7.23,2026-06-29,base,,,
000626.SZ,远大控股,6.4,2026-06-29,base,,,
000629.SZ,钒钛股份,3.33,2026-06-29,base,,,
000630.SZ,铜陵有色,6.37,2026-06-29,base,,,
000631.SZ,顺发恒能,3.03,2026-06-29,base,,,
000633.SZ,合金投资,4.76,2026-06-29,base,,,
000635.SZ,英 力 特,6.13,2026-06-29,base,,,
000637.SZ,茂化实华,3.54,2026-06-29,base,,,
000650.SZ,仁和药业,5.08,2026-06-29,base,,,
000651.SZ,格力电器,37.92,2026-06-29,base,,,
000652.SZ,泰达股份,3.38,2026-06-29,base,,,
000655.SZ,金岭矿业,6.45,2026-06-29,base,,,
000659.SZ,珠海中富,3.11,2026-06-29,base,,,
000663.SZ,永安林业,5.16,2026-06-29,base,,,
000665.SZ,湖北广电,3.64,2026-06-29,base,,,
000668.SZ,荣丰控股,22.8,2026-06-29,base,,,
000670.SZ,盈方微,7.12,2026-06-29,base,,,
000672.SZ,上峰材料,22.26,2026-06-29,base,,,
000676.SZ,智度股份,5.1,2026-06-29,base,,,
000678.SZ,襄阳轴承,8.35,2026-06-29,base,,,
000679.SZ,大连友谊,6.21,2026-06-29,base,,,
000680.SZ,山推股份,9.89,2026-06-29,base,,,
000681.SZ,视觉中国,19.57,2026-06-29,base,,,
000682.SZ,东方电子,12.56,2026-06-29,base,,,
000683.SZ,博源化工,5.95,2026-06-29,base,,,
000685.SZ,中山公用,11.12,2026-06-29,base,,,
000686.SZ,东北证券,8.46,2026-06-29,base,,,
000688.SZ,国城矿业,33.42,2026-06-29,base,,,
000690.SZ,宝新能源,4.75,2026-06-29,base,,,
000691.SZ,亚太实业,11.66,2026-06-29,base,,,
000692.SZ,惠天热电,4.01,2026-06-29,base,,,
000695.SZ,滨海能源,12.35,2026-06-29,base,,,
000697.SZ,炼石航空,10.33,2026-06-29,base,,,
000700.SZ,模塑科技,13.86,2026-06-29,base,,,
000701.SZ,厦门信达,4.4,2026-06-29,base,,,
000702.SZ,正虹科技,5.01,2026-06-29,base,,,
000703.SZ,恒逸石化,15.0,2026-06-29,base,,,
000705.SZ,浙江震元,6.03,2026-06-29,base,,,
000707.SZ,双环科技,4.31,2026-06-29,base,,,
000708.SZ,中信特钢,12.97,2026-06-29,base,,,
000710.SZ,贝瑞基因,7.64,2026-06-29,base,,,
000712.SZ,锦龙股份,8.6,2026-06-29,base,,,
000713.SZ,国投丰乐,5.32,2026-06-29,base,,,
000715.SZ,中兴商业,4.73,2026-06-29,base,,,
000716.SZ,黑芝麻,4.1,2026-06-29,base,,,
000717.SZ,中南股份,2.0,2026-06-29,base,,,
000719.SZ,中原传媒,11.39,2026-06-29,base,,,
000720.SZ,新能泰山,3.65,2026-06-29,base,,,
000721.SZ,西安饮食,5.52,2026-06-29,base,,,
000722.SZ,湖南发展,11.75,2026-06-29,base,,,
000723.SZ,美锦能源,3.43,2026-06-29,base,,,
000725.SZ,京东方Ａ,7.95,2026-06-29,base,,,
000726.SZ,鲁  泰Ａ,5.5,2026-06-29,base,,,
000727.SZ,冠捷科技,2.53,2026-06-29,base,,,
000728.SZ,国元证券,7.53,2026-06-29,base,,,
000729.SZ,燕京啤酒,10.28,2026-06-29,base,,,
000731.SZ,四川美丰,5.22,2026-06-29,base,,,
000735.SZ,罗 牛 山,4.83,2026-06-29,base,,,
000736.SZ,中交发展,3.71,2026-06-29,base,,,
000737.SZ,北方铜业,13.35,2026-06-29,base,,,
000738.SZ,航发控制,17.52,2026-06-29,base,,,
000739.SZ,普洛药业,17.03,2026-06-29,base,,,
000750.SZ,国海证券,3.7,2026-06-29,base,,,
000751.SZ,锌业股份,6.22,2026-06-29,base,,,
000753.SZ,漳州发展,4.49,2026-06-29,base,,,
000755.SZ,山西高速,4.33,2026-06-29,base,,,
000756.SZ,新华制药,13.59,2026-06-29,base,,,
000757.SZ,浩物股份,3.44,2026-06-29,base,,,
000758.SZ,中色股份,6.73,2026-06-29,base,,,
000759.SZ,中百集团,6.31,2026-06-29,base,,,
000761.SZ,本钢板材,2.18,2026-06-29,base,,,
000762.SZ,西藏矿业,26.02,2026-06-29,base,,,
000766.SZ,通化金马,21.56,2026-06-29,base,,,
000767.SZ,晋控电力,3.92,2026-06-29,base,,,
000768.SZ,中航西飞,20.17,2026-06-29,base,,,
000776.SZ,广发证券,23.26,2026-06-29,base,,,
000777.SZ,中核科技,18.48,2026-06-29,base,,,
000778.SZ,新兴铸管,3.72,2026-06-29,base,,,
000779.SZ,甘咨询,7.75,2026-06-29,base,,,
000782.SZ,恒申新材,7.88,2026-06-29,base,,,
000783.SZ,长江证券,9.45,2026-06-29,base,,,
000786.SZ,北新建材,18.25,2026-06-29,base,,,
000788.SZ,北大医药,5.0,2026-06-29,base,,,
000789.SZ,万年青,3.87,2026-06-29,base,,,
000790.SZ,华神科技,3.59,2026-06-29,base,,,
000791.SZ,甘肃能源,7.81,2026-06-29,base,,,
000792.SZ,盐湖股份,29.63,2026-06-29,base,,,
000795.SZ,英洛华,8.44,2026-06-29,base,,,
000796.SZ,凯撒旅业,3.79,2026-06-29,base,,,
000797.SZ,中国武夷,2.18,2026-06-29,base,,,
000798.SZ,中水渔业,7.07,2026-06-29,base,,,
000800.SZ,一汽解放,5.96,2026-06-29,base,,,
000801.SZ,四川九洲,11.76,2026-06-29,base,,,
000802.SZ,北京文化,3.48,2026-06-29,base,,,
000803.SZ,山高环能,6.68,2026-06-29,base,,,
000807.SZ,云铝股份,23.16,2026-06-29,base,,,
000809.SZ,和展能源,3.24,2026-06-29,base,,,
000810.SZ,创维数字,12.6,2026-06-29,base,,,
000812.SZ,陕西金叶,3.15,2026-06-29,base,,,
000813.SZ,德展健康,3.12,2026-06-29,base,,,
000815.SZ,美利云,14.1,2026-06-29,base,,,
000816.SZ,智慧农业,2.27,2026-06-29,base,,,
000818.SZ,航锦科技,13.2,2026-06-29,base,,,
000819.SZ,岳阳兴长,11.4,2026-06-29,base,,,
000822.SZ,山东海化,4.08,2026-06-29,base,,,
000823.SZ,超声电子,25.94,2026-06-29,base,,,
000825.SZ,太钢不锈,3.45,2026-06-29,base,,,
000828.SZ,东莞控股,9.46,2026-06-29,base,,,
000829.SZ,天音控股,7.09,2026-06-29,base,,,
000830.SZ,鲁西化工,12.45,2026-06-29,base,,,
000833.SZ,粤桂股份,23.46,2026-06-29,base,,,
000837.SZ,秦川机床,10.51,2026-06-29,base,,,
000839.SZ,国安股份,2.53,2026-06-29,base,,,
000848.SZ,承德露露,7.45,2026-06-29,base,,,
000850.SZ,华茂股份,3.58,2026-06-29,base,,,
000852.SZ,石化机械,5.01,2026-06-29,base,,,
000856.SZ,冀东装备,7.21,2026-06-29,base,,,
000859.SZ,国风新材,9.12,2026-06-29,base,,,
000860.SZ,顺鑫农业,9.96,2026-06-29,base,,,
000862.SZ,银星能源,4.79,2026-06-29,base,,,
000863.SZ,三湘印象,4.06,2026-06-29,base,,,
000868.SZ,安凯客车,3.31,2026-06-29,base,,,
000869.SZ,张  裕Ａ,15.86,2026-06-29,base,,,
000875.SZ,电投绿能,5.17,2026-06-29,base,,,
000876.SZ,新 希 望,6.44,2026-06-29,base+heat,12.0,9.27874337359868,"strong_industry,top_ret1_not_overheated,top_ret3,industry_relative_strength,volume_active"
000877.SZ,天山股份,3.7,2026-06-29,base,,,
000878.SZ,云南铜业,16.31,2026-06-29,base,,,
000880.SZ,潍柴重机,21.98,2026-06-29,base,,,
000881.SZ,中广核技,6.31,2026-06-29,base,,,
000883.SZ,湖北能源,4.39,2026-06-29,base,,,
000885.SZ,城发环境,12.37,2026-06-29,base,,,
000886.SZ,海南高速,4.08,2026-06-29,base,,,
000887.SZ,中鼎股份,16.89,2026-06-29,base,,,
000888.SZ,峨眉山Ａ,9.01,2026-06-29,base,,,
000889.SZ,中嘉博创,3.33,2026-06-29,base,,,
000890.SZ,法尔胜,7.97,2026-06-29,base,,,
000892.SZ,欢瑞世纪,3.29,2026-06-29,base,,,
000895.SZ,双汇发展,22.79,2026-06-29,base,,,
000899.SZ,赣能股份,9.84,2026-06-29,base,,,
000900.SZ,现代投资,3.52,2026-06-29,base,,,
000901.SZ,航天科技,17.15,2026-06-29,base,,,
000902.SZ,新洋丰,12.03,2026-06-29,base,,,
000905.SZ,厦门港务,7.88,2026-06-29,base,,,
000906.SZ,浙商中拓,5.15,2026-06-29,base,,,
000908.SZ,景峰医药,5.48,2026-06-29,base,,,
000910.SZ,大亚圣象,5.13,2026-06-29,base,,,
000912.SZ,泸天化,3.27,2026-06-29,base,,,
000913.SZ,钱江摩托,10.36,2026-06-29,base,,,
000915.SZ,华特达因,28.31,2026-06-29,base,,,
000917.SZ,电广传媒,6.6,2026-06-29,base,,,
000919.SZ,金陵药业,5.98,2026-06-29,base,,,
000920.SZ,沃顿科技,15.7,2026-06-29,base,,,
000921.SZ,海信家电,27.9,2026-06-29,base,,,
000922.SZ,佳电股份,13.52,2026-06-29,base,,,
000923.SZ,河钢资源,12.7,2026-06-29,base,,,
000925.SZ,众合科技,9.19,2026-06-29,base,,,
000927.SZ,中国铁物,2.31,2026-06-29,base,,,
000928.SZ,中钢国际,5.1,2026-06-29,base,,,
000929.SZ,兰州黄河,8.9,2026-06-29,base,,,
000930.SZ,中粮科技,4.36,2026-06-29,base,,,
000931.SZ,中 关 村,4.18,2026-06-29,base,,,
000932.SZ,华菱钢铁,3.44,2026-06-29,base,,,
000933.SZ,神火股份,22.0,2026-06-29,base,,,
000935.SZ,四川双马,25.85,2026-06-29,base,,,
000936.SZ,华西股份,5.23,2026-06-29,base,,,
000937.SZ,冀中能源,4.01,2026-06-29,base,,,
000938.SZ,紫光股份,26.24,2026-06-29,base,,,
000948.SZ,南天信息,11.82,2026-06-29,base,,,
000949.SZ,新乡化纤,6.62,2026-06-29,base,,,
000950.SZ,重药控股,5.12,2026-06-29,base,,,
000951.SZ,中国重汽,20.09,2026-06-29,base,,,
000952.SZ,广济药业,5.62,2026-06-29,base,,,
000953.SZ,中哲精化,5.32,2026-06-29,base,,,
000955.SZ,欣龙控股,4.42,2026-06-29,base,,,
000957.SZ,中通客车,9.4,2026-06-29,base,,,
000958.SZ,电投产融,5.74,2026-06-29,base,,,
000959.SZ,首钢股份,3.44,2026-06-29,base,,,
000963.SZ,华东医药,28.72,2026-06-29,base,,,
000965.SZ,天保基建,2.96,2026-06-29,base,,,
000966.SZ,长源电力,3.96,2026-06-29,base,,,
000967.SZ,盈峰环境,9.57,2026-06-29,base,,,
000968.SZ,蓝焰控股,6.08,2026-06-29,base,,,
000969.SZ,安泰科技,23.97,2026-06-29,base,,,
000970.SZ,中科三环,13.81,2026-06-29,base,,,
000972.SZ,中基健康,3.29,2026-06-29,base,,,
000973.SZ,佛塑科技,14.21,2026-06-29,base,,,
000975.SZ,山金国际,17.45,2026-06-29,base,,,
000978.SZ,桂林旅游,5.27,2026-06-29,base,,,
000981.SZ,山子高科,2.83,2026-06-29,base,,,
000983.SZ,山西焦煤,6.01,2026-06-29,base,,,
000985.SZ,大庆华科,14.39,2026-06-29,base,,,
000987.SZ,越秀资本,7.86,2026-06-29,base,,,
000989.SZ,九芝堂,7.98,2026-06-29,base,,,
000990.SZ,诚志股份,8.24,2026-06-29,base,,,
000993.SZ,闽东电力,9.86,2026-06-29,base,,,
000995.SZ,皇台酒业,9.67,2026-06-29,base,,,
000997.SZ,新 大 陆,15.75,2026-06-29,base,,,
000998.SZ,隆平高科,7.63,2026-06-29,base,,,
000999.SZ,华润三九,23.25,2026-06-29,base,,,
001201.SZ,东瑞股份,10.9,2026-06-29,base,,,
001202.SZ,炬申股份,13.47,2026-06-29,base,,,
001203.SZ,大中矿业,30.13,2026-06-29,base,,,
001205.SZ,盛航股份,13.86,2026-06-29,base,,,
001206.SZ,依依股份,20.31,2026-06-29,base,,,
001207.SZ,联科科技,15.68,2026-06-29,base,,,
001208.SZ,华菱线缆,13.89,2026-06-29,base,,,
001209.SZ,洪兴股份,16.22,2026-06-29,base,,,
001210.SZ,金房能源,22.45,2026-06-29,base,,,
001211.SZ,双枪科技,24.5,2026-06-29,base,,,
001213.SZ,中铁特货,3.45,2026-06-29,base,,,
001215.SZ,千味央厨,35.25,2026-06-29,base,,,
001216.SZ,华瓷股份,14.7,2026-06-29,base,,,
001217.SZ,华尔泰,8.56,2026-06-29,base,,,
001218.SZ,丽臣实业,22.61,2026-06-29,base,,,
001219.SZ,青岛食品,11.65,2026-06-29,base,,,
001220.SZ,世盟股份,28.32,2026-06-29,base,,,
001222.SZ,源飞宠物,13.46,2026-06-29,base,,,
001225.SZ,和泰机电,39.26,2026-06-29,base,,,
001227.SZ,兰州银行,2.02,2026-06-29,base,,,
001228.SZ,永泰运,25.68,2026-06-29,base,,,
001229.SZ,魅视科技,33.02,2026-06-29,base,,,
001230.SZ,劲旅环境,15.64,2026-06-29,base,,,
001231.SZ,农心科技,18.33,2026-06-29,base,,,
001234.SZ,泰慕士,19.98,2026-06-29,base,,,
001236.SZ,弘业期货,6.89,2026-06-29,base,,,
001238.SZ,浙江正特,27.22,2026-06-29,base,,,
001239.SZ,永达股份,13.34,2026-06-29,base,,,
001255.SZ,博菲电气,25.55,2026-06-29,base,,,
001256.SZ,炜冈科技,26.49,2026-06-29,base,,,
001257.SZ,盛龙股份,29.22,2026-06-29,base,,,
001258.SZ,立新能源,7.0,2026-06-29,base,,,
001260.SZ,坤泰股份,15.77,2026-06-29,base,,,
001268.SZ,联合精密,35.96,2026-06-29,base,,,
001269.SZ,欧晶科技,20.8,2026-06-29,base,,,
001277.SZ,速达股份,27.91,2026-06-29,base,,,
001278.SZ,一彬科技,15.32,2026-06-29,base,,,
001279.SZ,强邦新材,26.98,2026-06-29,base,,,
001282.SZ,三联锻造,20.9,2026-06-29,base,,,
001286.SZ,陕西能源,10.46,2026-06-29,base,,,
001287.SZ,中电港,29.09,2026-06-29,base,,,
001288.SZ,运机集团,24.18,2026-06-29,base,,,
001289.SZ,龙源电力,16.12,2026-06-29,base,,,
001296.SZ,长江材料,19.2,2026-06-29,base,,,
001298.SZ,好上好,19.67,2026-06-29,base,,,
001299.SZ,美能能源,9.97,2026-06-29,base,,,
001300.SZ,三柏硕,11.39,2026-06-29,base,,,
001308.SZ,康冠科技,19.83,2026-06-29,base,,,
001311.SZ,多利科技,16.07,2026-06-29,base,,,
001312.SZ,福恩股份,18.59,2026-06-29,base,,,
001313.SZ,粤海饲料,7.07,2026-06-29,base,,,
001316.SZ,润贝航科,32.11,2026-06-29,base,,,
001317.SZ,三羊马,39.01,2026-06-29,base,,,
001318.SZ,阳光乳业,10.08,2026-06-29,base,,,
001319.SZ,铭科精技,19.35,2026-06-29,base,,,
001322.SZ,箭牌家居,6.3,2026-06-29,base,,,
001323.SZ,慕思股份,16.18,2026-06-29,base,,,
001324.SZ,长青科技,17.93,2026-06-29,base,,,
001325.SZ,元创股份,35.04,2026-06-29,base,,,
001328.SZ,登康口腔,26.54,2026-06-29,base,,,
001330.SZ,博纳影业,5.7,2026-06-29,base,,,
001332.SZ,锡装股份,39.21,2026-06-29,base,,,
001333.SZ,光华股份,18.51,2026-06-29,base,,,
001336.SZ,楚环科技,22.11,2026-06-29,base,,,
001337.SZ,四川黄金,36.96,2026-06-29,base,,,
001338.SZ,永顺泰,8.59,2026-06-29,base,,,
001356.SZ,富岭股份,8.35,2026-06-29,base,,,
001358.SZ,兴欣新材,23.49,2026-06-29,base,,,
001360.SZ,南矿集团,17.92,2026-06-29,base,,,
001365.SZ,天海电子,37.8,2026-06-29,base,,,
001366.SZ,播恩集团,11.05,2026-06-29,base,,,
001367.SZ,海森药业,18.88,2026-06-29,base,,,
001368.SZ,通达创智,20.81,2026-06-29,base,,,
001369.SZ,双欣材料,13.45,2026-06-29,base,,,
001373.SZ,翔腾新材,29.33,2026-06-29,base,,,
001376.SZ,百通能源,10.33,2026-06-29,base,,,
001378.SZ,德冠新材,18.16,2026-06-29,base,,,
001379.SZ,腾达科技,15.69,2026-06-29,base,,,
001380.SZ,华纬科技,15.53,2026-06-29,base,,,
001382.SZ,新亚电缆,15.78,2026-06-29,base,,,
001386.SZ,马可波罗,14.44,2026-06-29,base,,,
001387.SZ,雪祺电气,12.5,2026-06-29,base,,,
001388.SZ,信通电子,27.12,2026-06-29,base,,,
001390.SZ,古麒绒材,19.92,2026-06-29,base,,,
001391.SZ,国货航,4.12,2026-06-29,base,,,
001395.SZ,亚联机械,23.28,2026-06-29,base,,,
001396.SZ,誉帆科技,34.4,2026-06-29,base,,,
001399.SZ,C惠科股份,34.66,2026-06-29,base,,,
001696.SZ,宗申动力,21.96,2026-06-29,base,,,
001872.SZ,招商港口,20.03,2026-06-29,base,,,
001896.SZ,豫能控股,16.67,2026-06-29,base,,,
001914.SZ,招商积余,8.36,2026-06-29,base,,,
001965.SZ,招商公路,9.5,2026-06-29,base,,,
001979.SZ,招商蛇口,6.52,2026-06-29,base,,,
002001.SZ,新 和 成,29.45,2026-06-29,base,,,
002003.SZ,伟星股份,8.42,2026-06-29,base,,,
002004.SZ,华邦健康,4.04,2026-06-29,base,,,
002006.SZ,精工科技,14.03,2026-06-29,base,,,
002007.SZ,华兰生物,12.68,2026-06-29,base,,,
002009.SZ,天奇股份,18.8,2026-06-29,base,,,
002010.SZ,传化智联,4.56,2026-06-29,base,,,
002011.SZ,盾安环境,10.48,2026-06-29,base,,,
002012.SZ,凯恩股份,6.41,2026-06-29,base,,,
002014.SZ,永新股份,10.7,2026-06-29,base,,,
002015.SZ,协鑫能科,16.3,2026-06-29,base,,,
002016.SZ,世荣兆业,4.06,2026-06-29,base,,,
002017.SZ,东信和平,14.44,2026-06-29,base,,,
002019.SZ,亿帆医药,9.7,2026-06-29,base,,,
002020.SZ,京新药业,12.63,2026-06-29,base,,,
002021.SZ,中捷资源,2.49,2026-06-29,base,,,
002022.SZ,科华生物,4.69,2026-06-29,base,,,
002023.SZ,海特高新,12.55,2026-06-29,base,,,
002026.SZ,山东威达,10.66,2026-06-29,base,,,
002027.SZ,分众传媒,4.82,2026-06-29,base,,,
002029.SZ,七 匹 狼,7.56,2026-06-29,base,,,
002030.SZ,达安基因,5.09,2026-06-29,base,,,
002031.SZ,巨轮智能,5.34,2026-06-29,base,,,
002033.SZ,丽江股份,8.3,2026-06-29,base,,,
002034.SZ,旺能环境,14.96,2026-06-29,base,,,
002035.SZ,华帝股份,4.55,2026-06-29,base,,,
