symbol,name,last_price,latest_date
000822.SZ,山东海化,4.08,2026-06-29
000823.SZ,超声电子,25.94,2026-06-29
000825.SZ,太钢不锈,3.45,2026-06-29
000828.SZ,东莞控股,9.46,2026-06-29
000829.SZ,天音控股,7.09,2026-06-29
000830.SZ,鲁西化工,12.45,2026-06-29
000833.SZ,粤桂股份,23.46,2026-06-29
000837.SZ,秦川机床,10.51,2026-06-29
000839.SZ,国安股份,2.53,2026-06-29
000848.SZ,承德露露,7.45,2026-06-29
000850.SZ,华茂股份,3.58,2026-06-29
000852.SZ,石化机械,5.01,2026-06-29
000856.SZ,冀东装备,7.21,2026-06-29
000859.SZ,国风新材,9.12,2026-06-29
000860.SZ,顺鑫农业,9.96,2026-06-29
000862.SZ,银星能源,4.79,2026-06-29
000863.SZ,三湘印象,4.06,2026-06-29
000868.SZ,安凯客车,3.31,2026-06-29
000869.SZ,张  裕Ａ,15.86,2026-06-29
000875.SZ,电投绿能,5.17,2026-06-29
000876.SZ,新 希 望,6.44,2026-06-29
000877.SZ,天山股份,3.7,2026-06-29
000878.SZ,云南铜业,16.31,2026-06-29
000880.SZ,潍柴重机,21.98,2026-06-29
000881.SZ,中广核技,6.31,2026-06-29
000883.SZ,湖北能源,4.39,2026-06-29
000885.SZ,城发环境,12.37,2026-06-29
000886.SZ,海南高速,4.08,2026-06-29
000887.SZ,中鼎股份,16.89,2026-06-29
000888.SZ,峨眉山Ａ,9.01,2026-06-29
000889.SZ,中嘉博创,3.33,2026-06-29
000890.SZ,法尔胜,7.97,2026-06-29
000892.SZ,欢瑞世纪,3.29,2026-06-29
000895.SZ,双汇发展,22.79,2026-06-29
000899.SZ,赣能股份,9.84,2026-06-29
000900.SZ,现代投资,3.52,2026-06-29
000901.SZ,航天科技,17.15,2026-06-29
000902.SZ,新洋丰,12.03,2026-06-29
000905.SZ,厦门港务,7.88,2026-06-29
000906.SZ,浙商中拓,5.15,2026-06-29
000908.SZ,景峰医药,5.48,2026-06-29
000910.SZ,大亚圣象,5.13,2026-06-29
000912.SZ,泸天化,3.27,2026-06-29
000913.SZ,钱江摩托,10.36,2026-06-29
000915.SZ,华特达因,28.31,2026-06-29
000917.SZ,电广传媒,6.6,2026-06-29
000919.SZ,金陵药业,5.98,2026-06-29
000920.SZ,沃顿科技,15.7,2026-06-29
000921.SZ,海信家电,27.9,2026-06-29
000922.SZ,佳电股份,13.52,2026-06-29
000923.SZ,河钢资源,12.7,2026-06-29
000925.SZ,众合科技,9.19,2026-06-29
000927.SZ,中国铁物,2.31,2026-06-29
000928.SZ,中钢国际,5.1,2026-06-29
000929.SZ,兰州黄河,8.9,2026-06-29
000930.SZ,中粮科技,4.36,2026-06-29
000931.SZ,中 关 村,4.18,2026-06-29
000932.SZ,华菱钢铁,3.44,2026-06-29
000933.SZ,神火股份,22.0,2026-06-29
000935.SZ,四川双马,25.85,2026-06-29
000936.SZ,华西股份,5.23,2026-06-29
000937.SZ,冀中能源,4.01,2026-06-29
000938.SZ,紫光股份,26.24,2026-06-29
000948.SZ,南天信息,11.82,2026-06-29
000949.SZ,新乡化纤,6.62,2026-06-29
000950.SZ,重药控股,5.12,2026-06-29
000951.SZ,中国重汽,20.09,2026-06-29
000952.SZ,广济药业,5.62,2026-06-29
000953.SZ,中哲精化,5.32,2026-06-29
000955.SZ,欣龙控股,4.42,2026-06-29
000957.SZ,中通客车,9.4,2026-06-29
000958.SZ,电投产融,5.74,2026-06-29
000959.SZ,首钢股份,3.44,2026-06-29
000963.SZ,华东医药,28.72,2026-06-29
000965.SZ,天保基建,2.96,2026-06-29
000966.SZ,长源电力,3.96,2026-06-29
000967.SZ,盈峰环境,9.57,2026-06-29
000968.SZ,蓝焰控股,6.08,2026-06-29
000969.SZ,安泰科技,23.97,2026-06-29
000970.SZ,中科三环,13.81,2026-06-29
000972.SZ,中基健康,3.29,2026-06-29
000973.SZ,佛塑科技,14.21,2026-06-29
000975.SZ,山金国际,17.45,2026-06-29
000978.SZ,桂林旅游,5.27,2026-06-29
000981.SZ,山子高科,2.83,2026-06-29
000983.SZ,山西焦煤,6.01,2026-06-29
000985.SZ,大庆华科,14.39,2026-06-29
000987.SZ,越秀资本,7.86,2026-06-29
