symbol,industry_name,industry_code,updated_at,source
002414.SZ,计算机、通信和其他电子设备制造业,C39,2026-03-18T23:31:15.251662,cninfo_industry_change
002418.SZ,通用设备制造业,C34,2026-03-18T23:31:15.265555,cninfo_industry_change
002419.SZ,超市与便利店,25501020,2026-03-18T23:31:15.266555,cninfo_industry_change
002413.SZ,国防装备,20102010,2026-03-18T23:31:15.302164,cninfo_industry_change
002420.SZ,橡胶和塑料制品业,C29,2026-03-18T23:31:15.328057,cninfo_industry_change
002377.SZ,水泥与混凝土,15401010,2026-03-18T23:31:15.337069,cninfo_industry_change
002376.SZ,计算机、通信和其他电子设备制造业,C39,2026-03-18T23:31:15.371928,cninfo_industry_change
002421.SZ,软件和信息技术服务业,I65,2026-03-18T23:31:15.386387,cninfo_industry_change
002263.SZ,橡胶和塑料制品业,C29,2026-03-18T23:31:15.408330,cninfo_industry_change
002424.SZ,医药制造业,C27,2026-03-18T23:31:15.494254,cninfo_industry_change
002428.SZ,有色金属冶炼和压延加工业,C32,2026-03-18T23:31:15.558548,cninfo_industry_change
002429.SZ,计算机、通信和其他电子设备制造业,C39,2026-03-18T23:31:15.582205,cninfo_industry_change
002375.SZ,建筑装饰、装修和其他建筑业,E50,2026-03-18T23:31:15.583961,cninfo_industry_change
002431.SZ,土木工程建筑业,E48,2026-03-18T23:31:15.626865,cninfo_industry_change
002434.SZ,汽车制造业,C36,2026-03-18T23:31:15.687623,cninfo_industry_change
002436.SZ,计算机、通信和其他电子设备制造业,C39,2026-03-18T23:31:15.800760,cninfo_industry_change
002438.SZ,通用设备制造业,C34,2026-03-18T23:31:15.838813,cninfo_industry_change
002437.SZ,医药制造业,C27,2026-03-18T23:31:15.839813,cninfo_industry_change
002439.SZ,软件和信息技术服务业,I65,2026-03-18T23:31:15.852914,cninfo_industry_change
002440.SZ,化学原料和化学制品制造业,C26,2026-03-18T23:31:15.908337,cninfo_industry_change
002441.SZ,批发业,F51,2026-03-18T23:31:15.993769,cninfo_industry_change
002443.SZ,金属制品业,C33,2026-03-18T23:31:16.067254,cninfo_industry_change
