symbol,avg_turnover,avg_intraday_range,avg_abs_ret1,n_days,latest_close,is_st_symbol,passes,liq_rank,stability_rank,range_rank,price_rank,pool_score
600602.SH,591090508.3833333,0.030277826420213465,0.015172944138180877,60,18.92,False,True,0.8448844884488449,0.2079207920792079,0.22112211221122113,0.533003300330033,0.5615511551155115
601137.SH,722568290.5,0.0421992656920234,0.019838110792380122,60,21.18,False,True,0.6501650165016502,0.3564356435643564,0.5412541254125413,0.5759075907590759,0.5602310231023102
603236.SH,1121725926.05,0.04240991060777159,0.022733934699196143,60,85.87,False,True,0.3910891089108911,0.5429042904290429,0.5462046204620462,0.9537953795379538,0.5572607260726072
605117.SH,1739883569.95,0.05092935254201425,0.0285259540525404,60,78.1,False,True,0.19471947194719472,0.7970297029702971,0.806930693069307,0.9455445544554455,0.5571782178217821
002553.SZ,914237862.6166667,0.04345519652920247,0.022856111318725347,60,27.18,False,True,0.4933993399339934,0.5478547854785478,0.5825082508250825,0.6864686468646864,0.5562706270627062
000686.SZ,539488752.8833333,0.03146147954224182,0.017002150056691277,60,9.59,False,True,0.9257425742574258,0.26732673267326734,0.24092409240924093,0.24917491749174916,0.556023102310231
000796.SZ,1129064705.5166667,0.06333241144380083,0.034942962974829336,60,7.39,False,True,0.3844884488448845,1.0,0.9966996699669967,0.16006600660066006,0.5545379537953795
002536.SZ,1021901569.8833333,0.04767744062794561,0.024477080012419196,60,22.25,False,True,0.44224422442244227,0.6386138613861386,0.7178217821782178,0.6006600660066007,0.5545379537953795
603160.SH,803382331.0833334,0.03453115453370006,0.019100776843759607,60,78.96,False,True,0.566006600660066,0.32673267326732675,0.30033003300330036,0.9471947194719472,0.5545379537953795
000538.SZ,599172536.4,0.0135169062195214,0.006170335077198817,60,56.04,False,True,0.8283828382838284,0.009900990099009901,0.013201320132013201,0.8861386138613861,0.553960396039604
002183.SZ,531826775.7,0.03437154078767826,0.01986853607779486,60,5.1,False,True,0.9422442244224423,0.3613861386138614,0.2986798679867987,0.06105610561056106,0.5533003300330034
002152.SZ,547304710.6666666,0.027903237858221783,0.016314032910382505,60,12.25,False,True,0.9075907590759076,0.24092409240924093,0.18151815181518152,0.3457095709570957,0.552970297029703
603690.SH,1171767180.3333333,0.044291715091974646,0.0286308391821005,60,28.65,False,True,0.35148514851485146,0.7986798679867987,0.6122112211221122,0.7161716171617162,0.5529702970297029
000555.SZ,1242247934.9666667,0.05418607225778035,0.030261583334778394,60,18.64,False,True,0.31353135313531355,0.8613861386138614,0.8828382838283828,0.5247524752475248,0.5507425742574258
600977.SH,1392004326.3666666,0.05519644187404998,0.03427075911544479,60,16.41,False,True,0.2755775577557756,0.9801980198019802,0.9026402640264026,0.4735973597359736,0.5501650165016502
600702.SH,853270832.3333334,0.036795517989679394,0.019938449319448374,60,63.45,False,True,0.528052805280528,0.36633663366336633,0.36303630363036304,0.9141914191419142,0.5481848184818482
000758.SZ,561719821.2833333,0.03716952570263053,0.019346278370692718,60,6.26,False,True,0.8861386138613861,0.3415841584158416,0.37458745874587457,0.1188118811881188,0.5470297029702971
603296.SH,1506649908.2333333,0.04747632738436124,0.026051641680118563,60,87.18,False,True,0.24422442244224424,0.698019801980198,0.7079207920792079,0.9554455445544554,0.5467821782178217
600203.SH,892103789.6166667,0.04608299678582209,0.026345666969915877,60,13.44,False,True,0.5016501650165016,0.7128712871287128,0.6567656765676567,0.3976897689768977,0.5463696369636963
600509.SH,664547455.0333333,0.04525240024720199,0.02061553560896362,60,8.58,False,True,0.7277227722772277,0.40594059405940597,0.6320132013201321,0.2145214521452145,0.5463696369636963
002428.SZ,1524205518.65,0.05361425554979795,0.030568902184036243,60,26.52,False,True,0.23597359735973597,0.8795379537953796,0.8663366336633663,0.6707920792079208,0.5462046204620462
600737.SH,927322840.25,0.0495869799661987,0.023022040443015344,60,17.42,False,True,0.4867986798679868,0.5577557755775577,0.7706270627062707,0.5,0.5462046204620462
000901.SZ,1063516666.5,0.04839809081486884,0.02617263568779872,60,18.53,False,True,0.4174917491749175,0.7062706270627063,0.735973597359736,0.5214521452145214,0.5438118811881189
002463.SZ,4239030615.6,0.058125566817623146,0.03448457112523397,60,64.94,False,True,0.04455445544554455,0.9867986798679867,0.9455445544554455,0.9207920792079208,0.5433993399339934
600446.SH,622874052.8166667,0.03601276549506709,0.016334012346069526,60,15.5,False,True,0.7821782178217822,0.24257425742574257,0.3432343234323432,0.45544554455445546,0.5430693069306931
002409.SZ,1495093254.9166667,0.0459296072260029,0.02681593442567626,60,70.6,False,True,0.2508250825082508,0.7293729372937293,0.6534653465346535,0.9306930693069307,0.542904290429043
002896.SZ,1167040032.45,0.04205976419320417,0.023013199279973248,60,84.5,False,True,0.3564356435643564,0.5561056105610561,0.5363036303630363,0.9521452145214522,0.5424917491749175
002250.SZ,824461816.2166667,0.04376260212024882,0.02495910633236736,60,13.15,False,True,0.5445544554455446,0.6551155115511551,0.5957095709570958,0.38283828382838286,0.5419966996699671
002517.SZ,1163098233.2,0.052199738292795804,0.02612852766538171,60,20.91,False,True,0.35973597359735976,0.7046204620462047,0.8333333333333334,0.570957095709571,0.541996699669967
002497.SZ,1105827891.7666667,0.0472224385977263,0.02430546694424592,60,25.23,False,True,0.39933993399339934,0.6303630363036303,0.693069306930693,0.6567656765676567,0.541089108910891
