signal_date,symbol,name,industry_name,score,close,market_rank,candidate_rank,ret_1,ret_5,intraday_ret,ma_gap_5,turnover_rate_1,volume_ratio_1_prev,volume_ratio_3_prev,volume_ratio_5_prev,volume_ratio_7_prev,volume_ratio_5,industry_ret_1_mean
2025-11-28,600460.SH,士兰微,计算机、通信和其他电子设备制造业,-0.0017369348,27.93,,200,0.040583617985248566,0.2672649025917053,0.20486564934253693,0.18639828264713287,-0.5767762660980225,-0.6277088522911072,-0.5396602153778076,-0.6138646006584167,-0.6066138744354248,-0.5955443978309631,0.6296601295471191
2025-11-28,002747.SZ,埃斯顿,通用设备制造业,-0.0017393153,21.93,,201,0.1853400468826294,-0.17631173133850098,0.4858185946941376,-0.12404029071331024,-0.5507115125656128,-0.3571304976940155,-0.5358128547668457,-0.712093710899353,-0.6051507592201233,-0.7132757306098938,0.6200357675552368
2025-11-28,000783.SZ,长江证券,资本市场服务,-0.0017453802,7.94,,202,0.22593390941619873,-0.3565179109573364,0.2803904116153717,0.022481082007288933,-0.5594595074653625,-0.2906894087791443,-0.4921180307865143,-0.6169106960296631,-0.565590500831604,-0.5971965789794922,0.18220748007297516
2025-11-28,000807.SZ,云铝股份,有色金属冶炼和压延加工业,-0.0017650472,24.7,,203,0.29135310649871826,0.9773350358009338,0.2822769284248352,0.8489927053451538,-0.5829042792320251,-0.7552828192710876,-0.8611704707145691,-0.8536014556884766,-0.7427358031272888,-1.009894847869873,0.8053432703018188
2025-11-28,000725.SZ,京东方Ａ,计算机、通信和其他电子设备制造业,-0.0017883433,3.86,,204,0.08764175325632095,-0.09643897414207458,0.08019404113292694,-0.05091787502169609,-0.6329370737075806,-0.2070755958557129,-0.4378454387187958,-0.7046812176704407,-0.6955549716949463,-0.7179701328277588,0.6296601295471191
2025-11-28,002471.SZ,中超控股,电气机械和器材制造业,-0.0018051658,4.17,,205,0.5327647924423218,0.20583654940128326,0.4584570527076721,0.037479959428310394,-0.34961801767349243,0.16992811858654022,0.09859834611415863,-0.348360151052475,-0.4319774806499481,0.002459239913150668,0.7800391316413879
2025-11-28,002272.SZ,川润股份,通用设备制造业,-0.0018059926,14.14,,206,0.4304969310760498,0.3202178180217743,0.1862184852361679,-0.010908893309533596,-0.20403121411800385,0.04916265234351158,-0.16929179430007935,-0.5136438608169556,-0.4666772782802582,-0.37000572681427,0.6200357675552368
2025-11-28,002145.SZ,钛能化学,化学原料和化学制品制造业,-0.0018221213,5.1,,207,0.7192544937133789,0.726834237575531,0.43098264932632446,0.843901515007019,-0.4540567994117737,-0.26666536927223206,0.1923729032278061,-0.3372490108013153,-0.370881587266922,0.27961575984954834,0.6983561515808105
2025-11-28,600905.SH,三峡能源,电力、热力生产和供应业,-0.0018256074,4.18,,208,-0.017788078635931015,-0.2568233013153076,-0.033010534942150116,-0.15701758861541748,-0.6997899413108826,0.605994701385498,0.0032979354728013277,-0.4966577887535095,-0.49070125818252563,-0.12071074545383453,0.22603528201580048
2025-11-28,002423.SZ,中粮资本,保险业,-0.0018266178,11.56,,209,0.12080305069684982,-0.20577991008758545,0.15110401809215546,-0.24839559197425842,-0.6712648272514343,-0.3333527743816376,-0.4007345139980316,-0.5727537870407104,-0.5333881974220276,-0.4288245737552643,-0.2407739907503128
2025-11-28,002006.SZ,精工科技,专用设备制造业,-0.0018319287,19.76,,210,0.1406964510679245,-0.5307546257972717,0.13716118037700653,-0.32524633407592773,-0.32408878207206726,-0.2982989251613617,-0.528413712978363,-0.7086783051490784,-0.9744372367858887,-0.6549294590950012,0.5529906153678894
2025-11-28,002129.SZ,TCL中环,电气机械和器材制造业,-0.0018331711,9.39,,211,0.2960788309574127,-0.0504344217479229,0.3918473422527313,0.16627652943134308,-0.40207231044769287,-0.33355259895324707,-0.34137097001075745,-0.5221616625785828,-0.6389530301094055,-0.3768676817417145,0.7800391316413879
2025-11-28,000612.SZ,焦作万方,有色金属冶炼和压延加工业,-0.0018360277,9.63,,212,0.4858551025390625,0.11348282545804977,0.6376780867576599,0.19331331551074982,-0.33586782217025757,-0.48142969608306885,-0.2959100306034088,-0.4772006571292877,-0.5033252239227295,-0.30615881085395813,0.8053432703018188
2025-11-28,601218.SH,吉鑫科技,金属制品业,-0.0018484413,4.98,,213,0.7396325469017029,0.3691536486148834,0.6117879152297974,0.19481521844863892,-0.16019964218139648,0.4383610785007477,0.24494710564613342,-0.16593600809574127,-0.23273660242557526,0.13685454428195953,0.7781960368156433
2025-11-28,000777.SZ,中核科技,通用设备制造业,-0.0018654848,20.58,,214,0.3909827470779419,0.15541204810142517,0.36574870347976685,0.050172109156847,-0.3247111141681671,-0.515959620475769,-0.5444527268409729,-0.6625552177429199,-0.6408994197845459,-0.6317269206047058,0.6200357675552368
2025-11-28,002895.SZ,川恒股份,化肥,-0.0018709174,35.44,,215,0.6812624335289001,0.23163267970085144,0.9679462313652039,0.4795142114162445,-0.49265721440315247,-0.1035119891166687,-0.3914474844932556,-0.6918894648551941,-0.6786205172538757,-0.582980215549469,1.0710829496383667
2025-11-28,002185.SZ,华天科技,计算机、通信和其他电子设备制造业,-0.0018831773,10.91,,216,0.03029903769493103,0.2091851830482483,0.20545701682567596,0.09981698542833328,-0.5235409736633301,-0.707127571105957,-0.47009727358818054,-0.477821946144104,-0.4571288824081421,-0.4183758497238159,0.6296601295471191
2025-11-28,600120.SH,浙江东方,其他金融业,-0.001883429,6.22,,217,0.07406815886497498,0.01104847714304924,0.19682836532592773,-0.2161920964717865,-0.5325065851211548,-0.1777753084897995,-0.4750286042690277,-0.7378341555595398,-0.8119357824325562,-0.5866243243217468,0.37110602855682373
